第01卷	c1
第514話 蘑菇!身上長蘑菇	c514
第515話 女兒島的冒險	c515
第516話 海賊女帝 波雅·漢庫	c516
第517話 入浴	c517
第518話 擂台	c518
第519話 王的資質	c519
第520話 戈耳工之眼	c520
第521話 九天翔龍之蹄跡	c521
第522話 致命病毒	c522
第523話 地獄	c523
第524話 無以阻擋	c524
第525話 海底監獄推進城	c525
第526話 大監獄的冒險	c526
第527話 紅蓮地獄	c527
第528話 海俠甚平	c528
第529話 猛獸地獄	c529
第530話 下地獄下地獄	c530
第531話 LV3 饑餓地獄	c531
第532話 獄卒獸米諾塔鳥洛斯	c532
第533話 LV4 焦熱地獄	c533
第534話 監獄署長麥哲倫VS海賊路飛	c534
第535話 朋友	c535
第536話 極寒地獄	c536
第537話 地獄遇佛	c537
第538話 LV5.5地區 新人妖樂園	c538
第539話 安布里奧·亢奮荷爾蒙	c539
第540話 Lv6 無限地獄	c540
第541話 前所未有	c541
第542話 另一個終會被傳誦的事件	c542
第543話 草帽與黑胡子	c543
第544話 地獄之門亦敞開	c544
第545話 前往陽光普照的自由世界	c545
第546話 魚人海賊團船長“七武海”甚平	c546
第547話 沖出監獄島	c547
第548話 謝謝你	c548
第549話 出擊之艦	c549
第550話 海軍本部	c550
第551話 四皇“白胡子”	c551
第552話 艾斯與白胡子	c552
第553話 頂尖對決	c553
第554話 大將赤犬	c554
第555話 奧茲與斗笠	c555
第556話 正義必勝	c556
第557話 路飛與白胡子	c557
第558話 弟弟	c558
第559話 天命	c559
第560話 因佩爾的犯人們	c560
第561話 路飛VS米霍克	c561
第562話 海賊大渦蜘蛛史庫亞多	c562
第563話 一顆心 一個人	c563
第564話 動搖世界的男人	c564
第565話 奧茲之道	c565
第566話 猛攻	c566
第567話 馬林福特海軍本部歐力斯廣場	c567
第568話 任意妄為	c568
第569話 怪物	c569
第570話 命之懸橋	c570
第571話 處刑台	c571
第572話 這一刻他們將改變時代	c572
第573話 將此時代稱作"白胡子"	c573
第574話 波特卡斯·D·艾斯之死	c574
第575話 無言的憤怒	c575
第576話 大海賊愛德華·紐蓋特	c576
第577話 接踵而來的大事件	c577
第578話 ?付於新時代之物	c578
第579話 充滿勇氣的數秒	c579
第580話 終戰	c580
第581話 悄然而至的未來	c581
第582話 路飛與艾斯	c582
第583話 不確定之物的終點站	c583
第584話 泊爾謝米時間	c584
第585話 結義杯	c585
第586話 惡臭彌漫的城市	c586
第587話 我,不會逃	c587
第588話 薩波之海	c588
第589話 風云之志	c589
第590話 弟弟啊	c590
第591話 這樣好嗎	c591
第592話 聲援	c592
第593話 NEWS	c593
第594話 Message	c594
第595話 宣誓	c595
第596話 spectrum	c596
第597話 3D2Y	c597
第598話 2年後	c598
第599話 九人的海賊	c599
第600話 再起航之島	c600
第601話 通往新世界冒險的黎明	c601
第602話 全速下潛	c602
第603話 銘記于心	c603
第604話 目標—深海	c604
第605話 海怪和海賊	c605
第606話 深海的冒險	c606
第607話 海底一萬米	c607
第608話 海底的樂園	c608
第609話 魚人島的冒險	c609
第610話 占卜師Madam.夏麗	c610
第611話 霍迪.瓊斯	c611
第612話 被所救之鯊引領	c612
第613話 硬殼塔里的人魚公主	c613
第614話 潑出去的水是收不回來的	c614
第615話 靶靶的詛咒	c615
第616話 複仇的紀念日	c616
第617話 珊瑚丘的大事件	c617
第618話 求婚	c618
第619話 在海之森林	c619
第620話 憧憬的游園地	c620
第621話 乙姬和泰格	c621
第622話 太陽海賊團	c622
第623話 海賊費舍爾·泰格	c623
第624話 乙姬王妃	c624
第625話 無法繼承的意志	c625
第626話 海王三兄弟	c626
第627話 感激不盡	c627
第628話 大掃除	c628
第629話 擋住去路的原七武海	c629
第630話 開始暴走	c630
第631話 瓊克魯德廣場	c631
第632話 早已知曉	c632
第633話 是敵是友	c633
第634話 10萬VS10	c634
第635話 厭氣沖天	c635
第636話 來自未來國的將軍	c636
第637話 遠古的方舟	c637
第638話 落跑星	c638
第639話 守護一切	c639
第640話 魚人島正上方	c640
第641話 你是誰	c641
第642話 顏面掃地	c642
第643話 虛	c643
第644話 歸零	c644
第645話 死也是種複仇	c645
第646話 井底之蛙	c646
第647話 諾亞快停	c647
第648話 通往太陽的道路	c648
第649話 鯛與比目魚的曼舞	c649
第650話 當知曉的2個變化	c650
第651話 來自新世界的問候	c651
第652話 前途多舛的預感	c652
第653話 英雄的帽子	c653
第654話 鯨魚流	c654
第655話 龐克哈薩德	c655
第656話 燃燒島大冒險	c656
第657話 人頭	c657
第658話 甜餅屋	c658
第659話 身軀的遭遇	c659
第660話 王下七武海	c660
第661話 強盜出沒之湖	c661
第662話 七武海羅VS斯摩格中將	c662
第663話 CC	c663
第664話 M. 凱撒庫朗	c664
第665話 CANDY	c665
第666話 耶提COOL BROTHERS	c666
第667話 COOL FIHGT	c667
第668話 海賊同盟	c668
第669話 作戰開始	c669
第670話 暴風雪、時有Slime雨	c670
第671話 瓦斯瓦斯果實	c671
第672話 鄙人!名喚錦衛門	c672
第673話 維爾戈與小丑	c673
第674話 旁觀者們	c674
第675話 其名也稱作“死亡國度”	c675
第676話 殺戮武器完成	c676
第677話 ＣＯＵＮＴＥＲ　ＨＡＺＡＲＤ	c677
第678話 研究所內Ａ棟大廳	c678
第679話 G-5真漢子	c679
第680話 海軍G-5基地長[鬼竹維爾戈]	c680
第681話 路飛 vs. M	c681
第682話 黑幕	c682
第683話 冰一般的女人	c683
第684話 快住手吧貝加班克	c684
第685話 桃之助 便是在下的大名	c685
第686話 餅干屋的雪女	c686
第687話 猛獸	c687
第688話 莫查	c688
第689話 仿佛不存在的島嶼	c689
第690話 SAD	c690
第691話 死亡國度的王	c691
第692話 德蕾絲羅薩來的刺客	c692
第693話 全給我去死	c693
第694話 最危險的男人	c694
第695話 交給我吧	c695
第696話 利害一致	c696
第697話 交易	c697
第698話 多佛朗明哥出現	c698
第699話 晨刊	c699
第700話 詭計	c700
第701話 愛與激情與玩具之國的冒險	c701
第702話 斗牛競技場	c702
第703話 侯場室	c703
第704話 路西與居魯士雕像	c704
第705話 追擊者梅納德	c705
第706話 不會再恥笑你了	c706
第707話 B組	c707
第708話 怪客們的競技場	c708
第709話 王者之拳	c709
第710話 前進格林比特	c710
第711話 小人國的冒險	c711
第712話 紫羅蘭	c712
第713話 烏索蘭德	c713
第714話 路西與烏西	c714
第715話 激戰區C區	c715
第716話 首領·青椒	c716
第717話 德蕾絲羅薩的遺忘物	c717
第718話 花田中的利庫王國軍	c718
第719話 青椒開門	c719
第720話 囚犯劍斗士	c720
第721話 蕾貝卡與士兵先生	c721
第722話 王族血統	c722
第723話 變更作戰	c723
第724話 羅的計劃	c724
第725話 不敗之女	c725
第726話 力庫一族	c726
第727話 窺間伺隙的英雄	c727
第728話 悲劇的數量	c728
第729話 七武海多佛朗明哥VS.七武海羅	c729
第730話 三張底牌	c730
第731話 德蕾絲羅薩SOP作戰計畫	c731
第732話 地下世界	c732
第733話 士兵先生想要的東西	c733
第734話 隆美爾的鐮鼬	c734
第735話 藤虎的心思	c735
第736話 最高幹部迪亞曼蒂	c736
第737話 幹部塔	c737
第738話 托雷波爾軍特別幹部砂糖	c738
第739話 隊長	c739
第740話 拜托了	c740
第741話 大騙子烏索蘭度	c741
第742話 我會永遠陪在你身邊	c742
第743話 動蕩迭起的德雷斯羅薩	c743
第744話 革命軍參謀總長	c744
第745話 鳥籠	c745
第746話 星	c746
第747話 最高干部琵卡	c747
第748話 我的報恩	c748
第749話 衝鋒！！怪人軍團	c749
第750話 戰局	c750
第751話 薩波VS大將藤虎	c751
第752話 掌	c752
第753話 戰役	c753
第754話 給我記好了	c754
第755話 男人的世界	c755
第756話 第四層	c756
第757話 王牌	c757
第758話	c758
第759話 秘策	c759
第760話 共押一方	c760
第761話 手術果實	c761
第762話 白色城鎮	c762
第763話 重返人類	c763
第764話 白色怪物	c764
第765話 命運之島米尼翁	c765
第766話 笑容	c766
第767話 柯拉先生	c767
第768話 未能在那一天扣下的扳機	c768
第769話 海賊貝拉密	c769
第770話 艾爾巴夫之槍	c770
第771話 八寶水軍首領	c771
第772話 卷心菜&洛米奧	c772
第773話 一半&一半	c773
第774話 咚塔塔族戰斗長 雷歐	c774
第775話 懷著對露西安的愛意	c775
第776話 競技場的英雄	c776
第777話 索隆vs琵卡	c777
第778話 TACTICS NO.5	c778
第779話 最後的決鬥	c779
第780話 紅心的詛咒	c780
第781話 夙願	c781
第782話 極惡的化身	c782
第783話 擋路	c783
第784話 4檔	c784
第785話 哪怕跑斷這雙腿	c785
第786話 加茲	c786
第787話 4分鍾	c787
第788話 我的戰斗	c788
第789話 路西！！	c789
